en,vi,description
electric current,dòng điện.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
electrical energy,điện năng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
electromagnet,từ điện.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
electromagnetism,điện trường.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
electron,điện tử.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
elements,"phần tử, các thành phần.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
elevation,điện đồ (toán), độ cao, chỗ đất cao,,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
emit,"phát ra (ánh sáng, nhiệt), tỏa ra (mùi vị), phát hành (giấy bạc).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
energy,năng lượng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
energy resources,"các tài nguyên, nguồn năng lượng.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
environment,môi trường.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
equal,"bằng nhau, tương đương.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
erosion,sự ăn mòn, sự xói mòn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
error,"sai, lỗi. lỗi lầm.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
esophagus,thực quản.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
establish,thiết lập, thành lập.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
estimate,"ước lượng, ước đoán.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
estivation,"Sự ước lượng, ngủ trong mùa hè (động vật).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
evaluate,đánh giá, xem xét, lượng định.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
evaporation,sự bốc hơi.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
evidence,"bằng chứng, chứng cớ.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
example,thí dụ.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
exoskeleton,bộ xương ngoài (động vật).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
explain,giải thích.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
external,bên ngoài.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
fact,sự kiện, dữ kiện.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
factor,yếu tố.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
Fahrenheit (oF),độ F,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
fault,lỗi, sự thiếu sót, sự sai lầm, vết nứt (vỏ trái đất).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
feature,đặc điểm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
features,các đặc điểm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
fish,cá, câu cá.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
fixed pulley,cái ròng rọc không tăng đưa được.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
flood,lụt lội.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
food chain,"dây chuyền thực phẩm (một hình thức ăn để tồn tại một cách dây chuyền từ trên xuống thí dụ như cáo ăn thịt thỏ, thỏ ăn cỏ).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
food web,mạng lưới thực phẩm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
force,"lực, sức mạnh.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
former,trước đây, xưa, nguyên.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
formula,công thức.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
fossil,hóa thạch.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
fossil fuel,nhiên liệu hóa thạch.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
frequency,tần số.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
friction,ma sát, sự xoa bóp, sự va chạm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
fruit,trái cây.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
fulcrum,điểm tựa (đòn bẩy), trục bản lề (kỹ thuật).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
function,chức năng, hàm số (toán), hoạt động.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
galaxy,dải ngân hà.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
gas,khí hơi.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
generator,máy phát điện.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
germination,sự mọc, sự nảy mầm, sự nảy sinh.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
glacier,giải băng ngân hay sông đóng băng (địa lý).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
graduated cylinder,ống xy-lanh được phân loại.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
gram (g),1/1000 của 1 kg (đơn vị đo trọng lượng theo kiểu Pháp và các nước thuộc địa).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
gravity,sự ly tâm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
greatest,vĩ đại nhất, tuyệt vời nhất.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
groundwater,nước nguồn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
habitat,môi trường sống, chỗ ở.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
hand lens,kiếng lúp cầm tay.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
hardness,độ cứng, sự cứng rắn, tính khắc nghiệt.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
harmful,gây tai hại, có hại.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
healthy habit,thói quen hay cách phát triển lành mạnh.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
heart,trái tim, tấm lòng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
heart muscle,cơ bắp tim.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
heat energy,nhiệt năng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
herbivore,động vật ăn cỏ.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
hibernation,sự nghỉ mùa đông, sự nằm lỳ ra.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
host,chủ nhà, chủ tiệc, chủ khách sạn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
humidity,"hơi ẩm, sự ẩm ướt, độ ẩm.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
hygrometer,máy đo độ ẩm (vật lý).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
hypothesis,giả thuyết.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
identical,tương đồng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
identify,nhận ra, đồng hóa.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
igneous rock,đá đánh ra lửa (giống như đá hộp quẹt).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
illuminate,"chiếu, rọi sáng, giải tỏa (một vấn đề).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
illustrate,"minh họa, in tranh ảnh, soi sáng, làm rạng danh.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
inclined plane,mặt phẳng nghiêng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
increase,gia tăng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
independent variable,biến số độc lập.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
indicate,chỉ, biểu lộ, chỉ định, cần phải, đòi hỏi.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
inference,"sự suy diễn, suy luận.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
information,"Tin tức, thông tin.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
inherit,"thừa hưởng, thừa kế (tài sản).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
inherited adaptation,sự thích nghi kế thừa.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
inherited trait,điểm kế thừa.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
insect,côn trùng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
insulator,chất hay đồ cách điện, chất cách ly.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
interact,tác động qua lại, ảnh hưởng lẫn nhau.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
internal,bên trong, nội bộ, trong nước.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
interpret,diễn dịch, thông dịch.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
interval,"khoảng (thời gian, không gian), khoảng cách, lúc tạm ngưng, giờ giải lao.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
invertebrate,loài không xương sống, người nhu nhược (nghĩa bóng).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
jellyfish,con sứa.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
joint,"khớp (xương), mấu, đốt, khe nứt (địa lý), nơi hút thuốc phiện.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
kilogram (kg),"kí-lô-gram=1,000 gram, một đơn vị đo trọng lượng kiểu Pháp và các nước thuộc địa.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
kiloliter (kl),"kí-lô-lít=1,000 lít, đơn vị để đo dung tích.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
kilometer (km),"kí-lô-mét=1,000 mét, đơn vị đo mét theo kiểu Pháp và các nước thuộc địa.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
kinetic energy,năng động lực.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
kingdom,vương quốc.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
knowledge,kiến thức.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
label,nhãn, đóng nhãn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
landslide,trượt đất.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
large intestine,ruột già.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
larva,ấu trùng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
latitude,vĩ độ, vĩ tuyến.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
lava,"nham thạch, dung nham (núi lửa).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
leaf,lá cây.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
learned,có am tường, được học hỏi, có hiểu biết.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
learned adaptation,sự thích nghi có am tường.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
least,"tối thiểu, ít nhất, nhỏ nhất, ít quan trọng nhất.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
levee,"bờ đê, bờ kè.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
lever,cái đòn bẩy, bẩy lên.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
life cycle,chu kỳ đời sống.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
life span,chiều dài đời sống.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
light,ánh sáng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
line graph,biểu đồ theo hàng kẻ hay hàng vạch.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
lines of force,"lực từ trường trái đất (dùng để định hướng, luôn luôn quay về hướng bắc N).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
liquid,chất lỏng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
list,danh sách, liệt kê.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
liter (L),Lít (đơn vị đo dung tích).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
location,"địa điểm, vị trí.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
lunar eclipse,hiện tượng nguyệt thực.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
lungs,các lá phổi.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
luster,ánh sáng rực rỡ, nước bóng, đèn trần nhiều ngọn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
magma,chất nhão.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
magnet,nam châm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
magnetic field,từ trường.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
magnetic force,lực từ trường.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
magnetism,từ học, tính từ trường.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
magnifier,kính lúp, máy phóng ảnh.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
