en,vi,description
maintain,"duy trì, bảo vệ.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
major,chính, quan trọng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
mammal,động vật có vú.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
mass,khối, đống, đa số, khối lượng, lễ nhà thờ.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
matter,"vấn đề, chất, vật chất, chủ đề, nội dung, việc quan trọng, mủ (y khoa).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
measure,đo lường.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
mechanical energy,năng lượng máy.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
metamorphic rock,"đá biến chất, biến dạng, biến hình.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
metamorphosis,"sự biến hình, sự biến dạng, sự biến chất.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
meter (m),"mét, đơn vị đo chiều dài.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
meter stick,cây thước đo mét.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
method,phương pháp.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
metric ruler,thước dây đo mét.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
microscope,kính hiển vi.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
migration,"sự di dân, sự di trú (chim)",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
milligram (mg),"mi-li-gram=1/1,000g.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
milliliter (mL),"mi-li-lít=1/1,000L.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
millimeter (mm),"mi-li-mét=1/1,000m.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
mineral,khoáng chất, chất khoáng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
mitochondria,dạng hạt hoặc dạng chỉ trong tế bào.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
mixture,sự pha trộn, hỗn hợp dược chất.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
molecule,phân tử.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
mollusk,động vật thân mềm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
motion,sự chuyển động.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
motor,động cơ, cơ vận động (sinh học).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
mouth,cái miệng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
movable pulley,cái ròng rọc cơ động.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
muscle tissue,mô bắp thịt, cơ bắp.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
muscular system,hệ thống cơ bắp.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
negative,số âm, tính tiêu cực.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
nervous system,hệ thống thần kinh.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
neuron,dây thần kinh nơ-ron.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
niche,hốc tường, chỗ thích hợp.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
nimbus,"hào quang, mây mưa, quầng (mặt trăng, mặt trời).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
nonrenewable,không tái tạo được.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
nonrenewable energy resource,nguồn năng lượng không tái tạo được.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
nose,cái mũi.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
nucleus,"hạch, tâm tế bào (sinh học).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
nutrient,"dinh dưỡng, bổ dưỡng.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
objective lens,kiếng hội tụ.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
observation,sự quan sát, sự tiến hành, sự tuân theo, sự nhận xét.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
obtained,có, được, đạt được, thu được, kiếm được.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
occur,xảy ra.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
odor,mùi, mùi thơm, chất thơm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
offspring,con cháu.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
omnivore,động vật ăn tạp.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
opinion,ý kiến.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
orbit,quỹ đạo.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
order,mệnh lệnh, ra lệnh, thứ bậc, chế độ, đơn đặt hàng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
organ,bộ phận (cơ thể).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
organ system,hệ thống các bộ phận (cơ thể).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
organism,cơ thể sinh vật, cơ quan, tổ chức.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
original,"tính nguyên thủy, nguyên gốc.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
ovary,buồng trứng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
overabundance,sự thừa thãi.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
ozone,khí ozone.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
parallel circuit,mạch điện song song.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
parasite,ký sinh trùng, vật ăn bám.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
pattern,mô hình, kiểu mẫu, mẫu hàng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
"percent, percentage","phần trăm, tỷ lệ phần trăm.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
period,"kỳ, thời kỳ, giai đoạn, thời kỳ hành kinh, dấu chấm.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
permanent magnet,nam châm vĩnh viễn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
phases,"các giai đoạn, phương diện, pha (lý, sinh).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
phenomena,"hiện tượng, sự việc phi thường, người phi thường.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
photosynthesis,sự quang hợp.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
physical change,"thay đổi về mặt vật lý, cơ thể, vật chất.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
physical property,"tính chất vật lý, vật chất.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
physical weathering,"tạo thời tiết, gió mưa bằng phương pháp vật lý.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
pie graph,biểu đồ tỷ lệ (hình tròn).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
pistil,nhụy hoa.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
pitch,sự ném, cách ném bóng (cricke).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
polar,địa cực, có cực (điện).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
pollen,phấn hoa.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
pollinate,cho thụ phấn, rắc phấn hoa.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
pollution,sự ô nhiễm môi trường.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
population,dân số.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
positive,số dương, tính tích cực.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
potential energy,năng lượng tiềm ẩn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
precipitation,sự kết tủa.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
predator,thú ăn mồi sống.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
predict,"tiên đoán, dự đoán.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
prediction,"sự tiên đoán, sự dự đoán.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
presence,"sự hiên diện, sự có mặt.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
previous,"trước, vội vàng, hấp tấp.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
prey,mồi, con mồi, nạn nhân, rình mồi, cướp bóc, giày vò, làm hao mòn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
primary,chính, nguyên thủy, gốc, căn bản, sơ đẳng, chủ yếu.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
probable,có thể có, có khả năng xảy ra, chắc hẳn, có lẽ thật.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
procedure,tiến trình, thủ tục tố tụng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
process,quá trình, sự tiến hành, phương pháp, việc tố tụng, chế biến, gia công, kiện tụng, diễn hành, đi thành đoàn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
producer,nhà sản xuất, nhà xuất bản.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
proton,hạt prô-ton (vật lý).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
provide,"cung cấp, chuẩn bị đầy đủ, quy định (pháp luật).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
pulley,cái ròng rọc, kéo bằng cái ròng rọc, móc ròng rọc vào.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
pupa,con nhộng, con rối.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
radiation,sự phóng xạ, sự tỏa ra, ánh sáng phát ra.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
rearrange,"sự sắp xếp lại, sự xếp đặt lại.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
reason,lý do, viện lý.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
receive,nhận, nhận được.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
record,hồ sơ biên bản (pháp luật), sự ghi chép, kỷ lục, thu băng, máy ghi âm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
rectum,hậu môn, trực tràng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
recycle,tái sử dụng, tái chế, tái sinh (vật phế liệu).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
reduce,giảm bớt lại, làm nhỏ đi, làm nghèo đi, chữa (y khoa).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
refer,tham khảo, ám chỉ, tìm đến, có liên quan tới, hỏi ý kiến, quy cho, chuyển đến, chỉ dẫn, dựa vào.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
reflect,phản ảnh, phản chiếu.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
refract,"khúc xạ, làm khúc xạ (vật lý).",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
relationship,mối quan hệ, sự giao thiệp, tình thân thuộc.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
relative humidity,sự ẩm ướt tương đối, độ ẩm ướt tương đối.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
relevant,có liên quan tới, liên đới, thích đáng, thích hợp, xác đáng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
remain the same,không thay đổi, vẫn vậy.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
renewable,có thể làm mới lại, có thể hồi phục lại, có thể đổi mới.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
renewable energy resource,tài nguyên năng lượng có thể tái tạo được.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
represent,tiêu biểu cho, đại diện cho, miêu tả, đóng kịch, cho là, tượng trưng cho.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
reproduce,tái sản xuất, làm sinh sôi nảy nở, sao chép.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
reproduction,sự tái sản xuất, sự làm sinh sôi nảy nở, sự sao chép.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
reptile,loài bò sát, người đê tiện, kẻ liếm gót (nịnh bợ).,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
required,được yêu cầu, đòi hỏi, cần phải có.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
respiratory system,hệ thống hô hấp.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
response,"sự đáp lại, sự trả lời, sự phản ứng, sự hưởng ứng.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
responsible,có trách nhiệm.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
result,"kết quả, đáp số (toán), do, bởi, đưa đến kết quả là.",Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
reuse,tái sử dụng.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
revolve,quay tròn, xoay quanh (bánh xe), suy đi xét lại, làm cho quay tròn.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
rock,đá, tạo thành đá, điệu nhạc “rock”, cục đá, tiền, kẹo cứng, guồng quay chỉ, đá cục (để uống), khánh kiệt, tình trạng thảm hại.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
rock cycle,chu kỳ tạo thành đá.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
role,vai trò, đóng vai trò.,Nguồn: Elementary School Science - http://steinhardt.nyu.edu/scmsAdmin/media/users/xr1/glossaries/Science/Elementary/ele_4_science_vietnamese.pdf
